"EnsemblID","Symbol","gene_type","logFC","AveExpr","t","P.Value","adj.P.Val","B","mean_logCPM_Tumor","mean_logCPM_Normal"
"ENSG00000114416.17","FXR1","protein_coding",0.302976144125114,6.32380992297093,4.69055765871513,3.4317444869092e-06,8.04499384586537e-06,2.69597503075025,6.34820444793373,6.11534645696528
"ENSG00000063587.13","ZNF275","protein_coding",0.406941074871455,4.54377893919149,4.69021763952359,3.43723461134196e-06,8.05722627896992e-06,2.82062002903975,4.58541808820909,4.19628276256455
"ENSG00000204590.12","GNL1","protein_coding",-0.289558097533607,5.81810224019517,-4.69017666794277,3.43789672934751e-06,8.05814033481611e-06,2.69937848990091,5.79341761713069,6.03987074053202
"ENSG00000103363.14","ELOB","protein_coding",0.394697930322434,6.66080453335012,4.68996560491774,3.44130954026159e-06,8.06550112800702e-06,2.69380009876307,6.69730472844602,6.34593367401081
"ENSG00000258527.1","ASB9P1","processed_pseudogene",-0.91822421338237,-3.58649276178598,-4.68974196101914,3.44492933365002e-06,8.07334582854765e-06,3.59723445800842,-3.14200439646388,-2.7172778125888
"ENSG00000211454.13","AKR7L","polymorphic_pseudogene",1.22158670618616,-0.30047688239776,4.68969049500299,3.44576285603869e-06,8.07466005349702e-06,3.36174033694734,-0.0601063666902025,-1.71973127442878
"ENSG00000225769.1","CROCCP1","processed_pseudogene",-0.720273468076423,-3.40272392425973,-4.68953433527552,3.44829314159829e-06,8.07994988129474e-06,3.60182525873125,-3.03630309757278,-2.71924230904267
"ENSG00000136933.16","RABEPK","protein_coding",0.330250503316086,3.96025972338249,4.68945839571627,3.44952425013659e-06,8.08219491528521e-06,2.88859057029021,3.98911803834863,3.73154585880832
"ENSG00000225151.10","GOLGA2P7","transcribed_unprocessed_pseudogene",-0.59369817023245,3.730033526931,-4.68904725821568,3.45619682450461e-06,8.09718787578409e-06,2.88513228576763,3.6948993801305,4.06844603717473
"ENSG00000217716.3","RPS10P3","processed_pseudogene",0.504033465477323,3.26513177677172,4.68855266500744,3.46424029183085e-06,8.11538994144202e-06,2.92841761268948,3.29244905617456,3.0688362838202
"ENSG00000251209.7","LINC00923","lincRNA",-1.35508360990301,-3.697567332824,-4.68787003815569,3.47537127918907e-06,8.14082143299878e-06,3.57458446160771,-3.09095454687718,-2.62575666498255
"ENSG00000116785.13","CFHR3","protein_coding",1.10704510022595,-0.482315226580086,4.68730012867758,3.48469061572354e-06,8.16200556717652e-06,3.31019474995372,-0.290070681055693,-1.31153381857316
"ENSG00000216740.2","ANXA2P3","processed_pseudogene",-0.619459414361382,-0.0743909352311563,-4.68636621793515,3.50001418206752e-06,8.19699177591737e-06,3.21621106180045,-0.0961676708106439,0.579874572446479
"ENSG00000284594.1","MIR7847","miRNA",-0.669629961971517,0.922369420963214,-4.68635604938421,3.50018138320433e-06,8.19699177591737e-06,3.14088104855045,0.864460738139775,1.67119137297267
"ENSG00000254418.1","RP11-21L19.1","antisense",-0.840216535880908,-0.0893720895982169,-4.68543857035754,3.51529910617228e-06,8.23174447024729e-06,3.19140030994849,-0.147143740153412,1.02161356378953
"ENSG00000220793.5","RPL21P119","processed_pseudogene",-0.472281032799489,2.31221465094388,-4.68526773793843,3.51812091435149e-06,8.23770071103213e-06,3.04449922599858,2.2764782462029,2.70546614871452
"ENSG00000104133.14","SPG11","protein_coding",-0.302037243663722,5.77886704541591,-4.68452514100907,3.53041245131166e-06,8.26582768157635e-06,2.67541145322363,5.75442425071903,5.9987626306202
"ENSG00000253765.1","IGKV2D-19","IG_V_pseudogene",1.26895478729111,-4.79026495837308,4.6841437785113,3.53674083594622e-06,8.27998965594051e-06,3.7713257550227,-3.75694094473491,-4.45887304795386
"ENSG00000266708.1","RP11-661O13.1","antisense",-0.351809415463526,2.23886077994451,-4.68384561067096,3.54169627169298e-06,8.29093538544654e-06,3.01840632244722,2.19319106620331,2.71612925568416
"ENSG00000099954.18","CECR2","protein_coding",-1.25095772039275,2.47755130951599,-4.68380924211866,3.5423011597123e-06,8.29169577280538e-06,2.99798350544638,2.40115572239409,3.34033540680824
"ENSG00000167741.10","GGT6","protein_coding",-1.58076440369826,2.15526765791418,-4.68345198365581,3.54824842625036e-06,8.30496030576078e-06,2.9848968997194,2.05028508276741,3.54916180560038
"ENSG00000268149.1","CTD-3193O13.13","antisense",-0.304380544837735,1.56423636983762,-4.68313177369205,3.55358710492181e-06,8.3167984054004e-06,3.10979381678851,1.55993177821258,1.7230775206361
"ENSG00000243710.7","CFAP57","protein_coding",-0.643602176775108,2.4907652732349,-4.68264101816869,3.56178418270915e-06,8.33532388849e-06,2.99430129213161,2.43217705263461,3.07574509552627
"ENSG00000100228.12","RAB36","protein_coding",-0.779000378458809,2.97582746168432,-4.68254635530022,3.56336742433391e-06,8.33836989921196e-06,2.94700277594645,2.91043259620123,3.60945454401084
"ENSG00000206561.12","COLQ","protein_coding",-0.550953447573297,0.634780943092531,-4.68249601495641,3.56420964486586e-06,8.3396815574092e-06,3.17402030644078,0.625026032084674,0.98179532707102
"ENSG00000238164.6","RP3-395M20.8","antisense",-0.601126018577049,3.31216400130453,-4.68226485204535,3.56807958014454e-06,8.34807681758806e-06,2.92998567580544,3.28360600075876,3.60378785035213
"ENSG00000104427.11","ZC2HC1A","protein_coding",-0.506723065143076,3.65104279550108,-4.68209583588962,3.5709116628509e-06,8.35404272543372e-06,2.85981506084371,3.59284449014415,4.19132429175082
"ENSG00000131183.10","SLC34A1","protein_coding",1.21019519577217,-4.29133688035254,4.68205516710227,3.57159344309185e-06,8.35497751866129e-06,3.72003330920928,-3.46035456118751,-4.26630458118331
"ENSG00000100836.10","PABPN1","protein_coding",0.304070338366635,6.65596859662798,4.6817615949961,3.57651866205087e-06,8.36583799547114e-06,2.65660281951207,6.70557277895993,6.22656944073487
"ENSG00000170214.3","ADRA1B","protein_coding",-0.977577050480306,-0.279772281321021,-4.68132861216148,3.58379467415833e-06,8.38219506423854e-06,3.15531487855495,-0.32022175781796,0.850806922481022
"ENSG00000270885.1","RASL10B","protein_coding",1.06499821511329,0.512252997089392,4.68102381354944,3.58892516099966e-06,8.39353174157169e-06,3.19177370507918,0.641057943669063,-0.233300097829717
"ENSG00000132300.18","PTCD3","protein_coding",0.276833781072761,5.48085592871525,4.67988762597714,3.60811219318223e-06,8.43773851432488e-06,2.6893095348956,5.51372935621064,5.2018141468512
"ENSG00000166471.10","TMEM41B","protein_coding",-0.369678645689238,5.64403472682902,-4.67986560585898,3.60848502376245e-06,8.43794389175508e-06,2.66084426207962,5.61484399064661,5.90626683514548
"ENSG00000235560.3","AC002310.12","antisense",0.452004919661592,0.680638122739172,4.67950096613757,3.61466425777969e-06,8.45172563701039e-06,3.17659866238003,0.759644506048991,0.22240655561998
"ENSG00000105696.8","TMEM59L","protein_coding",2.08426822291362,1.58575922435401,4.67938751956927,3.61658881248276e-06,8.45555779691737e-06,3.17178501068932,1.85433938883267,-0.377762913117362
"ENSG00000143398.19","PIP5K1A","protein_coding",0.347690234791494,5.90801316695147,4.67715387260667,3.65468256631055e-06,8.54394599322411e-06,2.65154702156463,5.94674652583201,5.57591463204067
"ENSG00000274308.1","RP11-19G24.1","processed_pseudogene",0.536277043353763,-2.00101162081587,4.67622773910847,3.67059017943114e-06,8.58045739062285e-06,3.34023720766606,-1.80441316431836,-2.15142337063173
